12:26:21,067 [main] INFO  [Main] ESPAD Event Tunneling over HTTP
12:33:40,241 [main] INFO  [Main] ESPAD httpush - event pushing over HTTP
12:33:40,320 [main] INFO  [EPServiceProviderImpl] Initializing engine URI 'EspadHTTPMain' version 4.2.0
12:37:48,102 [main] INFO  [Main] ESPAD httpush - event pushing over HTTP
12:37:48,165 [main] INFO  [EPServiceProviderImpl] Initializing engine URI 'EspadHTTPMain' version 4.2.0
12:37:48,368 [main] INFO  [CSVManager] ESPAD started processing event descriptors from eventdefs/events.names
12:37:48,368 [main] INFO  [CSVManager] ESPAD ed |EspadEvent,timemark,value,long timestamp|
12:37:48,477 [main] INFO  [CSVManager] ESPAD defined event{EspadEvent}
12:37:48,477 [main] INFO  [CSVManager] ESPAD ed |EspadEventExtended,timemark,value,int id,float percent,long timestamp|
12:37:48,493 [main] INFO  [CSVManager] ESPAD defined event{EspadEventExtended}
12:37:48,493 [main] INFO  [CSVManager] ESPAD finished processing event descriptors from eventdefs/events.names
12:37:48,493 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEvent
12:37:48,493 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
12:37:48,509 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
12:37:48,509 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
12:37:48,509 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
12:37:48,602 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
12:37:48,602 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP no event data resource found for EspadEvent in edata_one/EspadEvent.csv
12:37:48,602 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEventExtended
12:37:48,618 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
12:37:48,618 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
12:37:48,618 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
12:37:48,634 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
12:37:48,634 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
12:37:48,634 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP no event data resource found for EspadEventExtended in edata_one/EspadEventExtended.csv
12:37:48,649 [main] ERROR [Coordinator] ESPAD coordinator has no adapters, exiting
14:35:38,101 [main] INFO  [Main] ESPAD httpush - event pushing over HTTP
14:35:38,163 [main] INFO  [EPServiceProviderImpl] Initializing engine URI 'EspadHTTPMain' version 4.2.0
14:35:38,366 [main] INFO  [CSVManager] ESPAD started processing event descriptors from eventdefs/events.names
14:35:38,366 [main] INFO  [CSVManager] ESPAD ed |EspadEvent,timemark,value,long timestamp|
14:35:38,460 [main] INFO  [CSVManager] ESPAD defined event{EspadEvent}
14:35:38,460 [main] INFO  [CSVManager] ESPAD ed |EspadEventExtended,timemark,value,int id,float percent,long timestamp|
14:35:38,476 [main] INFO  [CSVManager] ESPAD defined event{EspadEventExtended}
14:35:38,476 [main] INFO  [CSVManager] ESPAD finished processing event descriptors from eventdefs/events.names
14:35:38,491 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEvent
14:35:38,491 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
14:35:38,491 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
14:35:38,491 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
14:35:38,507 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
14:35:38,601 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
14:35:38,601 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP event data found in C:\docs_tsh\projects\pr_SCEN\esperee-4.2.0\espad\httpush\target\classes\edata_one\EspadEvent.csv
14:35:38,601 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP created source for edata_one/EspadEvent.csv source resetable true
14:35:38,616 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating CSVInputAdapter for epServiceProvider com.espertech.esper.core.EPServiceProviderImpl@1697b67
14:35:38,616 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP CSVInputAdapter created for EspadEvent
14:35:38,616 [main] INFO  [Coordinator] ESPAD event definition added to CSVOverHTTPPusher EspadEvent
14:35:38,632 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEventExtended
14:35:38,632 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
14:35:38,632 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
14:35:38,648 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
14:35:38,648 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
14:35:38,663 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
14:35:38,663 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP no event data resource found for EspadEventExtended in edata_one/EspadEventExtended.csv
14:35:38,663 [main] INFO  [Coordinator] ESPAD coordinator will coordinate pusher for EspadEvent
14:39:48,931 [main] INFO  [Main] ESPAD httpush - event pushing over HTTP
14:39:49,009 [main] INFO  [EPServiceProviderImpl] Initializing engine URI 'EspadHTTPMain' version 4.2.0
14:39:49,212 [main] INFO  [CSVManager] ESPAD started processing event descriptors from eventdefs/events.names
14:39:49,227 [main] INFO  [CSVManager] ESPAD ed |EspadEvent,timemark,value,long timestamp|
14:39:49,321 [main] INFO  [CSVManager] ESPAD defined event{EspadEvent}
14:39:49,321 [main] INFO  [CSVManager] ESPAD ed |EspadEventExtended,timemark,value,int id,float percent,long timestamp|
14:39:49,337 [main] INFO  [CSVManager] ESPAD defined event{EspadEventExtended}
14:39:49,352 [main] INFO  [CSVManager] ESPAD finished processing event descriptors from eventdefs/events.names
14:39:49,352 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEvent
14:39:49,368 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
14:39:49,368 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
14:39:49,368 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
14:39:49,384 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
14:39:49,477 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
14:39:49,477 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP event data found in C:\docs_tsh\projects\pr_SCEN\esperee-4.2.0\espad\httpush\target\classes\edata_one\EspadEvent.csv
14:39:49,493 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP created source for edata_one/EspadEvent.csv source resetable true
14:39:49,493 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating CSVInputAdapter for epServiceProvider com.espertech.esper.core.EPServiceProviderImpl@24c4a3
14:39:49,493 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP CSVInputAdapter created for EspadEvent
14:39:49,509 [main] INFO  [Coordinator] ESPAD event definition added to CSVOverHTTPPusher EspadEvent
14:39:49,509 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEventExtended
14:39:49,509 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
14:39:49,524 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
14:39:49,524 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
14:39:49,524 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
14:39:49,540 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
14:39:49,540 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP no event data resource found for EspadEventExtended in edata_one/EspadEventExtended.csv
14:39:49,540 [main] INFO  [Coordinator] ESPAD coordinator will coordinate pusher for EspadEvent
14:40:01,899 [main] INFO  [Main] ESPAD httpush - event pushing over HTTP
14:40:01,977 [main] INFO  [EPServiceProviderImpl] Initializing engine URI 'EspadHTTPMain' version 4.2.0
14:40:02,181 [main] INFO  [CSVManager] ESPAD started processing event descriptors from eventdefs/events.names
14:40:02,181 [main] INFO  [CSVManager] ESPAD ed |EspadEvent,timemark,value,long timestamp|
14:40:02,290 [main] INFO  [CSVManager] ESPAD defined event{EspadEvent}
14:40:02,290 [main] INFO  [CSVManager] ESPAD ed |EspadEventExtended,timemark,value,int id,float percent,long timestamp|
14:40:02,306 [main] INFO  [CSVManager] ESPAD defined event{EspadEventExtended}
14:40:02,321 [main] INFO  [CSVManager] ESPAD finished processing event descriptors from eventdefs/events.names
14:40:02,321 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEvent
14:40:02,321 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
14:40:02,337 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
14:40:02,337 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
14:40:02,337 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
14:40:02,446 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
14:40:02,446 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP event data found in C:\docs_tsh\projects\pr_SCEN\esperee-4.2.0\espad\httpush\target\classes\edata_one\EspadEvent.csv
14:40:02,446 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP created source for edata_one/EspadEvent.csv source resetable true
14:40:02,462 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating CSVInputAdapter for epServiceProvider com.espertech.esper.core.EPServiceProviderImpl@1697b67
14:40:02,462 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP CSVInputAdapter created for EspadEvent
14:40:02,462 [main] INFO  [Coordinator] ESPAD event definition added to CSVOverHTTPPusher EspadEvent
14:40:02,477 [main] INFO  [Coordinator] ESPAD event definition found in engine EspadEventExtended
14:40:02,477 [main] INFO  [CSVOverHTTPPusher] ESPAD initialising HTTP output adapter
14:40:02,477 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTPPusher debug enabled false
14:40:02,493 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP creating http adapter
14:40:02,493 [main] INFO  [EsperIOHTTPAdapter] Starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'
14:40:02,509 [main] INFO  [EsperIOHTTPAdapter] Completed starting EsperIO HTTP Adapter for engine URI 'EspadHTTPMain'.
14:40:02,509 [main] INFO  [CSVOverHTTPPusher] ESPAD CSVOverHTTP no event data resource found for EspadEventExtended in edata_one/EspadEventExtended.csv
14:40:02,509 [main] INFO  [Coordinator] ESPAD coordinator will coordinate pusher for EspadEvent
14:55:30,233 [main] INFO  [Main] ESPAD httpush - event pushing over HTTP
14:55:30,296 [main] INFO  [EPServiceProviderImpl] Initializing engine URI 'EspadHTTPMain' version 4.2.0
14:55:30,499 [main] INFO  [CSVManager] ESPAD started processing event descriptors from eventdefs/events.names
14:55:30,499 [main] INFO  [CSVManager] ESPAD ed |EspadEvent,timemark,value,long timestamp|
14:55:30,608 [main] INFO  [CSVManager] ESPAD defined event{EspadEvent}
